Company Name,Fiscal Period,Currency,Total Assets_Current,Total Assets_Previous,Total Liabilities_Current,Total Liabilities_Previous,Current Assets_Current,Current Assets_Previous,Current Liabilities_Current,Current Liabilities_Previous,Stockholders' Equity_Current,Stockholders' Equity_Previous,Stockholders' Equity - Parent_Current,Stockholders' Equity - Parent_Previous,Retained Earnings/(Deficit)_Current,Retained Earnings/(Deficit)_Previous,Gross Revenue_Current,Gross Revenue_Previous,Gross Expense_Current,Gross Expense_Previous,Income/(Loss) Before Tax_Current,Income/(Loss) Before Tax_Previous,Net Income/(Loss) After Tax_Current,Net Income/(Loss) After Tax_Previous,Net Income/(Loss) Attributable to Parent_Current,Net Income/(Loss) Attributable to Parent_Previous,Earnings/(Loss) Per Share (Basic)_Current,Earnings/(Loss) Per Share (Basic)_Previous,Earnings/(Loss) Per Share (Diluted)_Current,Earnings/(Loss) Per Share (Diluted)_Previous,Book Value Per Share_Current,Book Value Per Share_Previous,Current_Ratio_Current,Current_Ratio_Previous,Quick_Ratio_Current,Quick_Ratio_Previous,Debt_to_Equity_Current,Debt_to_Equity_Previous,Debt_Ratio_Current,Debt_Ratio_Previous,Equity_Ratio_Current,Equity_Ratio_Previous,Net_Profit_Margin_Current,Net_Profit_Margin_Previous,ROA_Current,ROA_Previous,ROE_Current,ROE_Previous,Asset_Turnover_Current,Asset_Turnover_Previous,Revenue_Growth,Net_Income_Growth,EPS_Growth,Book_Value_Growth
SEMIRARA MINING AND POWER CORPORATION,"Sep 30, 2025",PHP,70566359899.0,71193957811.0,12654814428.0,14675403370.0,32628291067.0,30198880837.0,12871517776.0,12871517776.0,57911545471.0,56518554441.0,57911545471.0,56518554441.0,47870876217.0,46477885187.0,55183339030.0,62747253022.0,42520126280.0,42980111701.0,13067737535.0,21124415909.0,11369093178.0,18825579744.0,11369093178.0,18825579744.0,2.33,3.7,2.33,3.7,13.62,13.29,2.534921804469565,2.3461786995554084,2.534921804469565,2.3461786995554084,0.21851971528435676,0.2596563821411909,0.17933211300841567,0.206132708746985,0.8206678869915843,0.793867291253015,0.20602401699214468,0.30002237289016476,0.16111208221980444,0.264426649716211,0.196318248555346,0.3330867169232383,0.7820063144674408,0.8813564374181355,-0.12054573909949483,-0.39608270594569583,-0.37027027027027026,0.02483069977426637
"SHAKEY'S PIZZA ASIA VENTURES, INC.","Jun 30, 2025",PHP,20032544844.0,20375521549.0,10850867283.0,11521795766.0,5270274931.0,5270274931.0,3796801168.0,3796801168.0,9181677561.0,8853725783.0,9181677561.0,8853725783.0,4992033428.0,4645088555.0,11147196642.0,9954464654.0,10254961690.0,8952931474.0,560866460.0,708787692.0,511829481.0,669534938.0,511829481.0,669534938.0,0.21,0.25,0.21,0.25,5.45,5.26,1.3880829408236213,1.3880829408236213,1.3880829408236213,1.3880829408236213,1.1817957242465182,1.30134996818209,0.5416619489685042,0.5654724340818393,0.4583380510314958,0.43452756591816066,0.04591553351373991,0.0672597634601034,0.0255498981774799,0.0328597693261432,0.05574465859855956,0.07562182909319047,0.5564543461056435,0.4885501767432574,0.1198187978417026,-0.2355447760068945,-0.16000000000000003,0.036121673003802354
SHELL PILIPINAS CORPORATION,"Jun 30, 2025",PHP,114960112.0,117107764.0,81793398.0,84926922.0,44626253.0,44626253.0,50538237.0,50538237.0,33166714.0,32180842.0,0.0,0.0,7186585.0,6221266.0,170295909.0,190749347.0,166005658.0,184481921.0,1600249.0,2822818.0,1187047.0,2086089.0,1187047.0,2086089.0,0.6,1.08,0.6,1.08,20.56,19.95,0.8830195837658523,0.8830195837658523,0.8830195837658523,0.8830195837658523,2.466129083514273,2.639052203792555,0.7114937222747313,0.7252031726948522,0.28850627772526877,0.27479682730514776,0.006970496278921181,0.010936283834303244,0.010325729327751524,0.017813413293417506,inf,inf,1.4813478000091023,1.6288360436973248,-0.1072267786059577,-0.43097010721977824,-0.4444444444444445,0.030576441102756865
SM INVESTMENTS CORPORATION,"Jun 30, 2025",PHP,1726004174.0,1699052182.0,827879464.0,832627391.0,383800192.0,383800192.0,350519992.0,343167994.0,898124710.0,866424791.0,653542408.0,627304080.0,578587336.0,551900993.0,486384479.0,459144335.0,371327740.0,351428039.0,103148306.0,96588193.0,89969940.0,84974210.0,65075308.0,62009930.0,34.84,32.9,34.84,32.9,535.1,513.3,1.0949452264052317,1.1184032273126263,1.0949452264052317,1.1184032273126263,0.9217867572088068,0.9609921133939483,0.47965090494618934,0.4900540429664096,0.5203490950538107,0.5099459570335904,0.1849769963568266,0.18507080132002499,0.03770286826664418,0.036496777825273406,0.09957319862248327,0.098851469290619,0.28179797379794747,0.27023557008091936,0.05932806292818575,0.058791132038768,0.058966565349544225,0.04247029027858965
"SOLID GROUP, INC.","Jun 30, 2025",PHP,15815081624.0,15500926001.0,2909420062.0,2734246816.0,5354415747.0,5066355417.0,875212912.0,680352166.0,12905661562.0,12766679185.0,12605166845.0,12471767321.0,5882516131.0,5731763093.0,2505333061.0,1909697882.0,1879725908.0,1674419626.0,662375041.0,493635445.0,572201660.0,383412663.0,564470865.0,312428861.0,0.18,0.1,0.18,0.1,6.92,6.85,6.117843639628571,7.4466661093866495,6.117843639628571,7.4466661093866495,0.22543749873052807,0.21417055887270656,0.18396490964579293,0.17639248234741636,0.8160350903542071,0.8236075176525837,0.2283934495206823,0.20077137154200395,0.03569193497828007,0.020155496580000737,0.044780911822988254,0.025050889177023958,0.15841417202665967,0.12319895481578333,0.31190021448638755,0.49239113680499386,0.7999999999999998,0.010218978102189823
SP NEW ENERGY CORPORATION,"Jun 30, 2025",PHP,140229454882.0,91367157781.0,67377280830.0,25346374815.0,21538790786.0,6642423601.0,12938306042.0,10042122255.0,72852174052.0,66020782966.0,65594475914.0,62677856869.0,4121073803.0,3942292359.0,1090750755.0,1090520459.0,-294454637.0,913671.0,-284945799.0,578194653.0,-457850255.0,522104747.0,-607984937.0,194579747.0,0.0,0.0,0.0,0.0,1.45,1.31,1.6647303531143354,0.6614561576058008,1.6647303531143354,0.6614561576058008,0.9248492815315001,0.38391508970823796,0.4804788044473003,0.27741231565671876,0.5195211955526997,0.7225876843432812,-0.4197569911377233,0.4787665767213268,-0.004335643588656933,0.0021296464914273964,-0.009268843580625914,0.0031044416117590274,0.0077783284254926525,0.01193558479310359,0.0002111798986432404,-1.8769317988982008,0.0,0.1068702290076335
SPC POWER CORPORATION,"Jun 30, 2025",PHP,12670352352.0,11765137472.0,1247823068.0,624175550.0,6213457975.0,5477181346.0,1102273540.0,476360724.0,11422529284.0,11140961922.0,11407554393.0,11126158349.0,9865500059.0,9584104015.0,1826377438.0,2757766039.0,473945682.0,2374086277.0,1728505877.0,1447364135.0,1525576759.0,1394384782.0,1525345037.0,1361988252.0,0.59,0.49,0.59,0.49,7.63,7.44,5.636947408716715,11.497970067742193,5.636947408716715,11.497970067742193,0.10924227349085254,0.05602528348718649,0.09848369116609709,0.0530529754952276,0.9015163088339029,0.9469470245047724,0.8353020176763704,0.5056211303935054,0.12038694699435301,0.1157647545760866,0.13371358877201542,0.1224131644794012,0.14414574964142243,0.23440151426732092,-0.33773300121490113,0.09408592139956387,0.20408163265306117,0.025537634408602083
STENIEL MANUFACTURING CORPORATION,"Jun 30, 2025",PHP,4289077.0,4691140.0,3275105.0,3718495.0,3658089.0,3658089.0,3301214.0,3301214.0,1013972.0,972645.0,396924.0,388291.0,0.0,0.0,2461337.0,2565840.0,2360999.0,2391840.0,45066.0,183776.0,35039.0,133768.0,10701.0,9700.0,0.02,0.07,0.02,0.07,0.71,0.69,1.1081041701628553,1.1081041701628553,1.1081041701628553,1.1081041701628553,3.229975778423862,3.8230752227174354,0.7635920269092861,0.7926634037781861,0.23640797309071393,0.20733659622181388,0.014235758857889025,0.052134193870233526,0.0024949423850399513,0.0020677276738703173,0.02695982102367204,0.02498126405196103,0.5738616956515353,0.5469544716209706,-0.040728572319396375,-0.7380614197715447,-0.7142857142857143,0.02898550724637684
SUPERCITY REALTY DEVELOPMENT CORPORATION,"Jun 30, 2025",PHP,53876261.0,56152340.0,7640786.0,8612400.0,54255758.0,54255758.0,8437964.0,8437964.0,46235475.0,47539940.0,0.0,0.0,0.0,0.0,3072389.0,175272.0,6075286.0,4297698.0,-2094323.0,-3891097.0,-2094323.0,-3891097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.43,6.429958459173327,6.429958459173327,6.429958459173327,6.429958459173327,0.16525808375495224,0.18116135611445872,0.14182101463945318,0.15337562067760666,0.8581789853605468,0.8466243793223933,-0.6816594513259877,-22.20033433748688,0.0,0.0,0.0,0.0,0.057026767317798835,0.0031213659128007843,16.529263088228582,-0.4617654096004289,0.0,-0.023255813953488393
"SWIFT FOODS, INC.","Jun 30, 2025",PHP,592047.0,591171.0,204439.0,201213.0,16167.0,15292.0,52404.0,49303.0,387608.0,389958.0,0.0,0.0,0.0,0.0,27713.0,29756.0,35366.0,39358.0,-2946.0,-4005.0,-2946.0,-4005.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3085069841996794,0.31016368172322173,0.3085069841996794,0.31016368172322173,0.5274375141895936,0.5159863369901374,0.34530873393497474,0.34036344813937086,0.6546912660650253,0.6596365518606292,-0.10630390069642406,-0.1345947035891921,0.0,0.0,0.0,0.0,0.046808783762099966,0.050333998115604454,-0.06865842183089124,-0.2644194756554307,0.0,0.0
"SYNERGY GRID & DEVELOPMENT PHILS., INC.","Jun 30, 2025",PHP,544274388241.0,512336185280.0,355445759501.0,343615372503.0,58251361096.0,48817134627.0,109662741226.0,100970143968.0,188828628740.0,168720812777.0,116837775465.0,107006552886.0,96104539740.0,86382100681.0,65840436774.0,39731008936.0,20153123137.0,17850516814.0,38264227130.0,14521542457.0,38262771121.0,14514819595.0,17454425886.0,6608621349.0,1.85,0.88,1.85,0.88,22.19,20.32,0.5311864398497195,0.48348088562170805,0.5311864398497195,0.48348088562170805,1.8823721904500867,2.0365914960186915,0.6530635414422838,0.670683395737915,0.34693645855771615,0.329316604262085,0.581143944295791,0.3653272339089335,0.03206916633062537,0.012898993939669284,0.14939026198105473,0.06175903410364531,0.12096919898579983,0.07754870742593822,0.6571549159513647,1.6361175811086615,1.1022727272727273,0.09202755905511815
