Name,Type,Region,Province,City_Muni,Lat,Lon
Agbakong River,river,Mimaropa Region,Occidental Mindoro,Paluan,13.50624,120.398622
Agbanga River,river,Region VIII (Eastern Visayas),Leyte,Matag-ob,11.059797,124.444938
Agbanga River,river,Region VIII (Eastern Visayas),Leyte,Palompon,11.059797,124.444938
Agdao Creek,stream,Region XI (Davao Region),Davao del Sur,Davao City,7.078991,125.620519
Agibawa River,river,Region XI (Davao Region),Davao de Oro (Compostela Valley),New Bataan,7.609782,126.131349
Agkawayan River,river,Mimaropa Region,Occidental Mindoro,Looc,13.762231,120.251934
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Bauko,16.816521,120.89128
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Bokod,16.476022,120.74717
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Buguias,16.786862,120.832704
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Hungduan,16.753626,120.859826
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Itogon,16.394159,120.73151
Agno River,river,Cordillera Administrative Region (CAR),Benguet,Kabayan,16.625596,120.824434
Agno River,river,Cordillera Administrative Region (CAR),Benguet,San Manuel,16.215852,120.696981
Agno River,river,Cordillera Administrative Region (CAR),Ifugao,Buguias,16.753626,120.859826
Agno River,river,Cordillera Administrative Region (CAR),Ifugao,Hungduan,16.753626,120.859826
Agno River,river,Cordillera Administrative Region (CAR),Mountain Province,Bauko,16.816521,120.89128
Agno River,river,Cordillera Administrative Region (CAR),Mountain Province,Buguias,16.816521,120.89128
Agno River,river,Region I (Ilocos Region),Pangasinan,Aguilar,15.91219,120.246888
Agno River,river,Region I (Ilocos Region),Pangasinan,Alcala,15.843884,120.497846
Agno River,river,Region I (Ilocos Region),Pangasinan,Asingan,15.979963,120.677559
Agno River,river,Region I (Ilocos Region),Pangasinan,Bautista,15.837555,120.4801
Agno River,river,Region I (Ilocos Region),Pangasinan,Bayambang,15.809945,120.458372
Agno River,river,Region I (Ilocos Region),Pangasinan,Binmaley,15.975924,120.291805
Agno River,river,Region I (Ilocos Region),Pangasinan,Bugallon,15.91219,120.246888
Agno River,river,Region I (Ilocos Region),Pangasinan,Itogon,16.215852,120.696981
